node,napprox,nexact,t_fast
c48310,3090,199,51.09
h06534,3086,237,53.09
f3377,3088,225,53.27
d189245,3087,264,54.49
g48008,3088,247,54.59
d292088,3088,232,54.71
d95814,3087,249,54.73
a665199,3087,229,54.90
g40993,3087,220,55.50
d727722,3089,243,55.57
d661192,3089,222,55.62
d085529,3085,209,55.64
c02586,3085,252,55.73
e55890,3083,261,55.82
d100414,3093,221,55.87
d475677,3087,251,55.90
d161514,3082,217,55.91
e55486,3083,233,55.97
d363649,3082,278,56.13
d036791,3089,265,56.18
d403425,3082,262,56.37
d508210,3086,242,56.62
i86270,3083,255,56.69
b54226,3088,247,56.74
i56663,3090,242,56.88
d136832,3086,220,57.03
g00987,3085,288,57.06
e91658,3089,203,57.21
d663120,3088,218,57.47
d07277,3084,260,57.54
d287035,3093,271,57.57
d166996,3082,269,57.63
f33860,3082,263,57.81
d769146,3089,264,57.82
d94876,3092,235,57.92
c79085,3087,262,58.02
f63957,3085,258,58.05
f12099,3083,285,58.12
d704754,3087,256,58.14
d182061,3082,260,58.24
d761352,3086,284,58.30
d690251,3091,285,58.37
d683040,3087,233,58.41
c32266,3085,228,58.46
h09149,3090,243,58.66
c67450,3090,243,58.81
e6237,3084,227,58.82
d633674,3088,225,58.94
d625443,3088,274,58.96
d686773,3087,279,58.96
i47255,3083,267,59.21
i38922,3082,224,59.22
d734686,3092,263,59.30
d282533,3092,229,59.34
d72722,3090,265,59.39
i51485,3089,275,59.40
f2972,3085,226,59.41
d283159,3085,257,59.47
d11380,3087,279,59.48
h25214,3091,256,59.50
d599597,3090,234,59.52
h03879,3091,245,59.53
h08525,3088,237,59.57
c87410,3089,268,59.59
c72335,3090,235,59.64
e88272,3087,256,59.70
i59116,3086,279,59.74
g42827,3090,246,59.78
f13769,3089,267,59.81
e1942,3087,278,59.88
d405203,3092,287,59.89
d731988,3086,275,59.91
d470167,3090,267,59.97
c71820,3089,275,60.14
d354761,3093,268,60.31
d18075,3087,271,60.40
d468795,3091,244,60.45
d274928,3082,279,60.46
d94396,3088,265,60.49
d083205,3087,263,60.53
g54224,3082,279,60.58
d427421,3085,250,60.71
d305055,3085,291,60.74
d172561,3088,287,60.91
d659768,3089,251,60.92
d009198,3088,271,60.93
a692129,3088,265,60.95
d007371,3091,269,60.96
h34425,3082,285,61.12
f28077,3088,282,61.17
d639324,3087,284,61.25
a60052,3088,275,61.25
d318290,3086,239,61.35
d435294,3090,242,61.37
g74417,3090,285,61.37
d392550,3085,294,61.50
d745608,3084,272,61.51
c64744,3085,327,61.52
d298383,3085,261,61.56
e35069,3089,303,61.60
i27366,3086,255,61.63
d185245,3087,259,61.66
a631729,3085,279,61.66
h25016,3090,285,61.69
c88046,3087,261,61.75
d444306,3083,283,61.82
d256147,3089,277,61.85
a672696,3086,299,62.05
d80123,3088,265,62.09
h34863,3089,281,62.14
d404165,3087,290,62.16
c98844,3084,277,62.18
d379256,3088,273,62.20
d751222,3083,273,62.20
c28383,3090,252,62.20
a699642,3088,302,62.22
d384974,3089,297,62.32
d186508,3084,286,62.34
d062409,3084,298,62.35
c57595,3088,273,62.35
d399081,3082,250,62.36
d192379,3090,265,62.41
d723137,3083,283,62.44
g09076,3084,289,62.46
f38053,3088,254,62.46
f46004,3085,282,62.49
d373034,3090,273,62.57
b0079,3084,224,62.59
d660413,3084,289,62.61
a665384,3090,269,62.70
d36344,3090,276,62.76
d331217,3093,307,62.78
a672165,3092,272,62.79
f40694,3086,265,62.80
c2000,3084,280,62.81
d32524,3090,252,62.82
h21445,3089,287,62.83
a633140,3084,279,62.83
d064323,3084,297,62.86
d766029,3088,259,62.87
c51791,3089,266,62.90
d031686,3085,289,62.93
c57641,3092,286,62.98
i2243,3088,288,63.01
d14322,3085,279,63.05
h09365,3090,290,63.11
f48100,3082,277,63.14
a646847,3082,279,63.19
g58220,3083,312,63.22
f81818,3087,311,63.26
c91277,3087,270,63.27
d397694,3089,292,63.30
h41121,3086,268,63.38
c26712,3088,268,63.39
d239087,3083,277,63.40
d70385,3087,260,63.49
d440962,3084,276,63.55
d348534,3092,273,63.59
b57158,3084,311,63.63
d68779,3083,278,63.63
f08781,3084,349,63.64
d556921,3088,287,63.72
i88815,3088,277,63.80
d292568,3086,265,63.80
d309098,3093,264,63.90
h33383,3090,292,63.94
a652769,3090,282,63.96
a681388,3083,280,63.97
d738236,3088,258,63.98
e67306,3083,324,63.99
b94395,3091,255,64.00
d164207,3088,246,64.04
d037743,3085,284,64.05
e48898,3092,250,64.06
d685942,3082,281,64.19
e63277,3084,279,64.19
d737613,3082,254,64.34
d636163,3085,259,64.38
d43227,3083,255,64.42
d553449,3085,271,64.49
d313818,3083,281,64.49
g86369,3086,250,64.57
d454475,3085,298,64.63
h6722,3083,249,64.64
d460567,3092,238,64.69
d621880,3082,276,64.75
c76537,3092,289,64.75
d236319,3083,280,64.80
d235358,3082,280,64.81
d376638,3088,327,64.87
i53585,3087,245,64.90
d551885,3088,222,64.91
f21728,3082,283,64.98
b9947,3087,263,64.99
d103561,3091,283,65.06
a655448,3089,258,65.10
d555753,3088,284,65.12
d315320,3087,271,65.20
b46362,3086,274,65.23
e34279,3091,291,65.28
h1998,3087,267,65.29
i54245,3087,280,65.31
d371175,3087,265,65.37
d436192,3086,261,65.39
e42850,3082,295,65.41
d450279,3086,287,65.57
d400324,3091,271,65.58
a649426,3082,268,65.73
d365550,3082,254,65.82
a619198,3085,308,65.85
a698769,3088,266,66.01
e79197,3087,261,66.02
d661451,3088,270,66.07
a633888,3089,278,66.13
d86987,3082,382,66.19
f76664,3089,263,66.36
g11699,3091,297,66.43
d301336,3086,264,66.44
a662575,3086,253,66.44
d30428,3090,260,66.47
h03023,3083,269,66.61
c58949,3093,265,66.68
g79530,3085,267,66.69
h60111,3085,313,66.77
d462621,3092,261,66.88
d75508,3092,259,66.91
e58677,3085,258,66.93
d028890,3087,276,67.03
i04957,3083,284,67.16
d267278,3088,268,67.21
b32739,3087,290,67.23
c57869,3083,236,67.43
d386641,3088,280,67.45
c17033,3087,277,67.46
c00653,3089,272,67.67
d188000,3087,274,67.72
d554928,3083,262,67.81
c12839,3086,321,67.97
d254659,3083,271,68.20
d586440,3084,352,68.70
d142124,3087,254,68.72
d187718,3090,331,68.74
a64187,3083,280,68.78
f59566,3088,268,68.95
h54358,3084,249,69.23
h8264,3089,249,69.65
c75202,3083,274,69.67
d505677,3087,261,69.81
e35965,3090,274,70.02
g87368,3086,251,70.24
d190089,3089,273,70.66
d213579,3082,379,70.86
a6457,3085,245,71.34
b18386,3088,319,71.49
d1225,3086,320,71.49
d3810,3090,258,71.82
e67722,3083,256,71.98
d159424,3082,268,72.04
d84797,3083,364,72.06
d621716,3082,268,72.74
d493077,3090,281,73.68
d382869,3086,271,73.79
d364976,3092,262,74.14
f22239,3085,269,74.16
d486719,3089,273,74.42
a611564,3090,289,74.59
d056103,3086,281,75.01
d225265,3085,270,75.18
d139254,3088,264,75.19
d788030,3082,276,75.21
d782271,3087,300,75.29
g36629,3087,274,75.64
d301234,3094,279,75.65
d86327,3088,356,75.76
i78688,3089,273,76.02
c37929,3087,280,76.13
g52387,3082,269,76.25
g72404,3083,269,76.55
g65702,3082,267,76.67
g11417,3087,439,76.87
d435002,3086,282,76.92
a694137,3083,270,77.08
d26521,3084,466,77.29
d344773,3088,270,77.41
d728926,3090,273,77.43
d401594,3082,271,77.75
i58243,3090,272,78.11
i20226,3088,273,78.12
e22433,3088,264,78.26
d334829,3088,272,78.37
d176147,3091,269,78.50
i41945,3082,262,78.56
g15391,3082,293,78.84
h91910,3088,269,79.08
b17816,3087,277,79.15
h85285,3086,320,79.15
d037955,3087,275,79.23
h44073,3085,276,79.34
f23549,3087,291,79.42
d086290,3082,274,79.44
i41035,3094,282,80.02
d126799,3086,293,80.20
i81451,3084,337,80.33
c55594,3084,439,80.57
d418148,3082,302,81.01
d287881,3089,301,81.06
d504475,3088,284,81.14
d188208,3087,540,81.42
d59803,3087,272,81.47
f86351,3088,289,81.56
g40677,3089,366,82.21
b35623,3083,280,82.31
g73507,3083,375,82.70
e22416,3088,268,82.84
h31146,3085,267,83.26
d613347,3086,284,83.41
d534527,3087,239,83.67
h28821,3087,294,83.72
d140125,3083,324,83.91
f38736,3087,549,83.95
h73327,3085,275,84.08
h66422,3082,295,85.65
h53903,3086,305,85.68
d574875,3085,293,85.75
d165835,3087,425,87.38
h95265,3089,256,87.46
d304530,3082,344,88.15
c481,3083,270,89.13
d511330,3087,275,89.29
h60191,3088,279,90.55
h72941,3086,264,91.09
d111167,3090,452,91.53
d61178,3082,262,92.25
d644820,3088,430,92.48
d45851,3090,261,95.04
d54379,3089,277,95.35
d299275,3095,495,95.37
d557862,3086,647,97.01
g25576,3083,486,97.21
b88915,3085,313,97.99
c60233,3083,642,98.21
f205,3087,321,98.74
d61303,3091,277,100.11
b35899,3087,368,100.76
d151868,3083,425,101.94
d516876,3089,399,102.12
d49479,3083,514,102.69
f56015,3085,626,106.41
d45656,3085,401,106.67
a607866,3086,483,107.00
d521604,3086,265,110.68
d418799,3085,454,114.33
b04220,3084,273,114.38
h13537,3087,468,115.78
d522664,3087,309,115.85
f09037,3086,470,116.18
h62975,3082,567,121.59
f7987,3087,580,121.90
d7988,3088,663,121.96
f05715,3087,654,122.95
d574573,3094,479,123.26
d742118,3090,846,124.75
d729839,3088,709,124.76
d368925,3086,512,125.45
h32646,3083,593,134.21
b03528,3088,474,136.65
h98204,3086,686,145.79
a643384,3087,755,146.08
h65102,3083,786,151.80
a63837,3084,951,152.88
d785778,3088,730,155.50
d103258,3083,1165,162.81
d106955,3086,851,177.61
e16528,3082,1156,184.83
d442114,3085,934,185.97
b93328,3084,896,187.13
d772937,3084,1096,189.34
i53127,3085,1266,191.81
i17452,3086,1231,197.64
d156485,3087,1412,203.32
b44750,3088,1090,208.85
d129209,3083,1126,215.14
d546428,3089,1413,216.12
f28388,3093,1561,225.19
d238706,3084,1216,226.29
e36278,3082,1367,235.80
a696837,3085,1687,239.34
f6268,3086,1382,250.62
c48792,3085,1636,257.13
d789414,3092,1322,258.88
b15608,3091,1550,270.01
g02486,3082,1661,277.61
f7484,3088,1828,281.38
b82397,3082,1393,283.68
d73653,3084,1682,293.06
i92464,3089,1883,294.99
d659050,3087,1481,302.10
b6573,3087,1802,303.12
c27461,3086,1580,306.14
i92692,3085,2037,306.25
g11034,3087,1878,324.01
g26645,3084,2249,340.03
d549570,3090,1619,345.44
i36289,3086,2242,351.47
d210342,3082,1769,352.26
d699683,3091,2272,356.19
b6862,3082,2211,358.14
f30160,3085,2151,368.99
b34116,3088,2202,370.41
d658251,3083,2001,371.61
d065966,3086,2033,377.19
d645966,3087,2564,379.78
h52420,3082,2007,379.95
d386481,3087,2173,385.46
f71010,3084,2566,391.55
d294863,3082,2688,392.41
d67904,3085,2146,402.48
d322324,3090,2722,403.71
e82032,3084,2690,408.11
c7858,3085,2562,410.61
d73290,3087,2271,421.05
d223345,3089,2886,427.87
d040812,3084,2905,429.21
e49458,3088,2233,431.64
d593276,3086,2942,434.38
e97883,3084,2906,441.21
d543757,3086,1982,444.48
d405770,3087,3073,449.32
b51718,3087,3008,457.39
d143332,3089,2533,470.19
d140567,3086,2776,472.57
d098227,3086,3076,474.38
d074351,3087,3079,479.06
c24747,3082,2925,481.23
d228929,3087,2602,484.91
a636667,3083,3073,492.04
d551359,3086,3016,493.17
d706042,3084,3069,493.82
d121304,3085,3055,498.17
e13185,3089,3059,498.31
d028623,3084,3068,505.37
c25399,3084,3076,508.78
c88370,3085,2891,511.83
d706988,3087,3072,519.98
a631206,3084,2784,520.59
c74444,3083,3061,521.43
d269077,3082,3058,522.09
d261516,3084,3069,531.87
a603888,3084,3025,549.66
a628245,3084,3078,552.09
d508545,3085,2996,552.40
